2026-06-02 14:03:36.920 [DEBUG] MIDI received: status E2, data1 5C, data2 04, channel 3, command E0
2026-06-02 14:03:36.920 [DEBUG] MIDI fader physical ch 3, logical ch 3: 3.69% raw 604; touched=True
2026-06-02 14:03:36.925 [DEBUG] MIDI received: status E2, data1 10, data2 05, channel 3, command E0
2026-06-02 14:03:36.925 [DEBUG] MIDI fader physical ch 3, logical ch 3: 4% raw 656; touched=True
2026-06-02 14:03:36.930 [DEBUG] MIDI received: status E2, data1 58, data2 05, channel 3, command E0
2026-06-02 14:03:36.930 [DEBUG] MIDI fader physical ch 3, logical ch 3: 4.44% raw 728; touched=True
2026-06-02 14:03:36.935 [DEBUG] MIDI received: status E2, data1 18, data2 06, channel 3, command E0
2026-06-02 14:03:36.935 [DEBUG] MIDI fader physical ch 3, logical ch 3: 4.83% raw 792; touched=True
2026-06-02 14:03:36.940 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=5
2026-06-02 14:03:36.941 [DEBUG] MIDI received: status E2, data1 68, data2 06, channel 3, command E0
2026-06-02 14:03:36.941 [DEBUG] MIDI fader physical ch 3, logical ch 3: 5.32% raw 872; touched=True
2026-06-02 14:03:36.946 [DEBUG] MIDI received: status E2, data1 30, data2 07, channel 3, command E0
2026-06-02 14:03:36.946 [DEBUG] MIDI fader physical ch 3, logical ch 3: 5.76% raw 944; touched=True
2026-06-02 14:03:36.952 [DEBUG] MIDI received: status E2, data1 00, data2 08, channel 3, command E0
2026-06-02 14:03:36.952 [DEBUG] MIDI fader physical ch 3, logical ch 3: 6.25% raw 1024; touched=True
2026-06-02 14:03:36.957 [DEBUG] MIDI received: status E2, data1 48, data2 08, channel 3, command E0
2026-06-02 14:03:36.957 [DEBUG] MIDI fader physical ch 3, logical ch 3: 6.69% raw 1096; touched=True
2026-06-02 14:03:36.962 [DEBUG] MIDI received: status E2, data1 24, data2 09, channel 3, command E0
2026-06-02 14:03:36.962 [DEBUG] MIDI fader physical ch 3, logical ch 3: 7.25% raw 1188; touched=True
2026-06-02 14:03:36.967 [DEBUG] MIDI received: status E2, data1 74, data2 09, channel 3, command E0
2026-06-02 14:03:36.967 [DEBUG] MIDI fader physical ch 3, logical ch 3: 7.74% raw 1268; touched=True
2026-06-02 14:03:36.973 [DEBUG] MIDI received: status E2, data1 54, data2 0A, channel 3, command E0
2026-06-02 14:03:36.973 [DEBUG] MIDI fader physical ch 3, logical ch 3: 8.33% raw 1364; touched=True
2026-06-02 14:03:36.978 [DEBUG] MIDI received: status E2, data1 30, data2 0B, channel 3, command E0
2026-06-02 14:03:36.978 [DEBUG] MIDI fader physical ch 3, logical ch 3: 8.89% raw 1456; touched=True
2026-06-02 14:03:36.983 [DEBUG] MIDI received: status E2, data1 7C, data2 0B, channel 3, command E0
2026-06-02 14:03:36.983 [DEBUG] MIDI fader physical ch 3, logical ch 3: 9.35% raw 1532; touched=True
2026-06-02 14:03:36.989 [DEBUG] MIDI received: status E2, data1 48, data2 0C, channel 3, command E0
2026-06-02 14:03:36.989 [DEBUG] MIDI fader physical ch 3, logical ch 3: 9.82% raw 1608; touched=True
2026-06-02 14:03:36.994 [DEBUG] MIDI received: status E2, data1 1C, data2 0D, channel 3, command E0
2026-06-02 14:03:36.994 [DEBUG] MIDI fader physical ch 3, logical ch 3: 10.33% raw 1692; touched=True
2026-06-02 14:03:36.999 [DEBUG] MIDI received: status E2, data1 68, data2 0D, channel 3, command E0
2026-06-02 14:03:36.999 [DEBUG] MIDI fader physical ch 3, logical ch 3: 10.79% raw 1768; touched=True
2026-06-02 14:03:37.004 [DEBUG] MIDI received: status E2, data1 2C, data2 0E, channel 3, command E0
2026-06-02 14:03:37.004 [DEBUG] MIDI fader physical ch 3, logical ch 3: 11.21% raw 1836; touched=True
2026-06-02 14:03:37.010 [DEBUG] MIDI received: status E2, data1 04, data2 0F, channel 3, command E0
2026-06-02 14:03:37.010 [DEBUG] MIDI fader physical ch 3, logical ch 3: 11.74% raw 1924; touched=True
2026-06-02 14:03:37.015 [DEBUG] MIDI received: status E2, data1 38, data2 0F, channel 3, command E0
2026-06-02 14:03:37.015 [DEBUG] MIDI fader physical ch 3, logical ch 3: 12.06% raw 1976; touched=True
2026-06-02 14:03:37.018 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=12
2026-06-02 14:03:37.020 [DEBUG] MIDI received: status E2, data1 7C, data2 0F, channel 3, command E0
2026-06-02 14:03:37.020 [DEBUG] MIDI fader physical ch 3, logical ch 3: 12.48% raw 2044; touched=True
2026-06-02 14:03:37.025 [DEBUG] MIDI received: status E2, data1 34, data2 10, channel 3, command E0
2026-06-02 14:03:37.025 [DEBUG] MIDI fader physical ch 3, logical ch 3: 12.82% raw 2100; touched=True
2026-06-02 14:03:37.031 [DEBUG] MIDI received: status E2, data1 74, data2 10, channel 3, command E0
