2026-06-01 11:14:48.557 [DEBUG] MIDI fader physical ch 1, logical ch 1: 6.18% raw 1012; touched=True
2026-06-01 11:14:48.563 [DEBUG] MIDI received: status E0, data1 00, data2 09, channel 1, command E0
2026-06-01 11:14:48.563 [DEBUG] MIDI fader physical ch 1, logical ch 1: 7.03% raw 1152; touched=True
2026-06-01 11:14:48.568 [DEBUG] MIDI received: status E0, data1 48, data2 0A, channel 1, command E0
2026-06-01 11:14:48.568 [DEBUG] MIDI fader physical ch 1, logical ch 1: 8.25% raw 1352; touched=True
2026-06-01 11:14:48.573 [DEBUG] MIDI received: status E0, data1 6C, data2 0B, channel 1, command E0
2026-06-01 11:14:48.573 [DEBUG] MIDI fader physical ch 1, logical ch 1: 9.25% raw 1516; touched=True
2026-06-01 11:14:48.579 [DEBUG] MIDI received: status E0, data1 3C, data2 0D, channel 1, command E0
2026-06-01 11:14:48.579 [DEBUG] MIDI fader physical ch 1, logical ch 1: 10.52% raw 1724; touched=True
2026-06-01 11:14:48.584 [DEBUG] MIDI received: status E0, data1 08, data2 0F, channel 1, command E0
2026-06-01 11:14:48.584 [DEBUG] MIDI fader physical ch 1, logical ch 1: 11.77% raw 1928; touched=True
2026-06-01 11:14:48.589 [DEBUG] MIDI received: status E0, data1 48, data2 10, channel 1, command E0
2026-06-01 11:14:48.589 [DEBUG] MIDI fader physical ch 1, logical ch 1: 12.94% raw 2120; touched=True
2026-06-01 11:14:48.595 [DEBUG] MIDI received: status E0, data1 10, data2 12, channel 1, command E0
2026-06-01 11:14:48.595 [DEBUG] MIDI fader physical ch 1, logical ch 1: 14.16% raw 2320; touched=True
2026-06-01 11:14:48.600 [DEBUG] MIDI received: status E0, data1 04, data2 14, channel 1, command E0
2026-06-01 11:14:48.600 [DEBUG] MIDI fader physical ch 1, logical ch 1: 15.65% raw 2564; touched=True
2026-06-01 11:14:48.605 [DEBUG] MIDI received: status E0, data1 5C, data2 15, channel 1, command E0
2026-06-01 11:14:48.605 [DEBUG] MIDI fader physical ch 1, logical ch 1: 16.97% raw 2780; touched=True
2026-06-01 11:14:48.611 [DEBUG] MIDI received: status E0, data1 58, data2 17, channel 1, command E0
2026-06-01 11:14:48.611 [DEBUG] MIDI fader physical ch 1, logical ch 1: 18.51% raw 3032; touched=True
2026-06-01 11:14:48.616 [DEBUG] MIDI received: status E0, data1 54, data2 19, channel 1, command E0
2026-06-01 11:14:48.616 [DEBUG] MIDI fader physical ch 1, logical ch 1: 20.05% raw 3284; touched=True
2026-06-01 11:14:48.621 [DEBUG] MIDI received: status E0, data1 48, data2 1B, channel 1, command E0
2026-06-01 11:14:48.621 [DEBUG] MIDI fader physical ch 1, logical ch 1: 21.53% raw 3528; touched=True
2026-06-01 11:14:48.627 [DEBUG] MIDI received: status E0, data1 4C, data2 1D, channel 1, command E0
2026-06-01 11:14:48.627 [DEBUG] MIDI fader physical ch 1, logical ch 1: 23.12% raw 3788; touched=True
2026-06-01 11:14:48.632 [DEBUG] MIDI received: status E0, data1 4C, data2 1F, channel 1, command E0
2026-06-01 11:14:48.632 [DEBUG] MIDI fader physical ch 1, logical ch 1: 24.68% raw 4044; touched=True
2026-06-01 11:14:48.635 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=25
2026-06-01 11:14:48.637 [DEBUG] MIDI received: status E0, data1 60, data2 21, channel 1, command E0
2026-06-01 11:14:48.637 [DEBUG] MIDI fader physical ch 1, logical ch 1: 26.37% raw 4320; touched=True
2026-06-01 11:14:48.643 [DEBUG] MIDI received: status E0, data1 00, data2 24, channel 1, command E0
2026-06-01 11:14:48.643 [DEBUG] MIDI fader physical ch 1, logical ch 1: 28.13% raw 4608; touched=True
2026-06-01 11:14:48.648 [DEBUG] MIDI received: status E0, data1 18, data2 26, channel 1, command E0
2026-06-01 11:14:48.648 [DEBUG] MIDI fader physical ch 1, logical ch 1: 29.84% raw 4888; touched=True
2026-06-01 11:14:48.653 [DEBUG] MIDI received: status E0, data1 34, data2 28, channel 1, command E0
2026-06-01 11:14:48.653 [DEBUG] MIDI fader physical ch 1, logical ch 1: 31.57% raw 5172; touched=True
2026-06-01 11:14:48.659 [DEBUG] MIDI received: status E0, data1 50, data2 2A, channel 1, command E0
2026-06-01 11:14:48.659 [DEBUG] MIDI fader physical ch 1, logical ch 1: 33.3% raw 5456; touched=True
2026-06-01 11:14:48.664 [DEBUG] MIDI received: status E0, data1 00, data2 2D, channel 1, command E0
2026-06-01 11:14:48.664 [DEBUG] MIDI fader physical ch 1, logical ch 1: 35.16% raw 5760; touched=True
2026-06-01 11:14:48.669 [DEBUG] MIDI received: status E0, data1 20, data2 2F, channel 1, command E0
2026-06-01 11:14:48.669 [DEBUG] MIDI fader physical ch 1, logical ch 1: 36.92% raw 6048; touched=True
2026-06-01 11:14:48.675 [DEBUG] MIDI received: status E0, data1 64, data2 31, channel 1, command E0
2026-06-01 11:14:48.675 [DEBUG] MIDI fader physical ch 1, logical ch 1: 38.89% raw 6372; touched=True
2026-06-01 11:14:48.680 [DEBUG] MIDI received: status E0, data1 1C, data2 34, channel 1, command E0
2026-06-01 11:14:48.680 [DEBUG] MIDI fader physical ch 1, logical ch 1: 40.8% raw 6684; touched=True
2026-06-01 11:14:48.686 [DEBUG] MIDI received: status E0, data1 4C, data2 36, channel 1, command E0
2026-06-01 11:14:48.686 [DEBUG] MIDI fader physical ch 1, logical ch 1: 42.65% raw 6988; touched=True
2026-06-01 11:14:48.691 [DEBUG] MIDI received: status E0, data1 04, data2 39, channel 1, command E0
2026-06-01 11:14:48.691 [DEBUG] MIDI fader physical ch 1, logical ch 1: 44.56% raw 7300; touched=True
2026-06-01 11:14:48.696 [DEBUG] MIDI received: status E0, data1 44, data2 3B, channel 1, command E0
2026-06-01 11:14:48.696 [DEBUG] MIDI fader physical ch 1, logical ch 1: 46.51% raw 7620; touched=True
2026-06-01 11:14:48.701 [DEBUG] MIDI received: status E0, data1 78, data2 3D, channel 1, command E0
2026-06-01 11:14:48.701 [DEBUG] MIDI fader physical ch 1, logical ch 1: 48.39% raw 7928; touched=True
2026-06-01 11:14:48.705 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=48
2026-06-01 11:14:48.707 [DEBUG] MIDI received: status E0, data1 1C, data2 40, channel 1, command E0
2026-06-01 11:14:48.707 [DEBUG] MIDI fader physical ch 1, logical ch 1: 50.17% raw 8220; touched=True
2026-06-01 11:14:48.712 [DEBUG] MIDI received: status E0, data1 34, data2 42, channel 1, command E0
2026-06-01 11:14:48.712 [DEBUG] MIDI fader physical ch 1, logical ch 1: 51.88% raw 8500; touched=True
2026-06-01 11:14:48.718 [DEBUG] MIDI received: status E0, data1 3C, data2 44, channel 1, command E0
2026-06-01 11:14:48.718 [DEBUG] MIDI fader physical ch 1, logical ch 1: 53.49% raw 8764; touched=True
2026-06-01 11:14:48.723 [DEBUG] MIDI received: status E0, data1 54, data2 46, channel 1, command E0
2026-06-01 11:14:48.723 [DEBUG] MIDI fader physical ch 1, logical ch 1: 55.2% raw 9044; touched=True
2026-06-01 11:14:48.728 [DEBUG] MIDI received: status E0, data1 74, data2 48, channel 1, command E0
2026-06-01 11:14:48.728 [DEBUG] MIDI fader physical ch 1, logical ch 1: 56.96% raw 9332; touched=True
2026-06-01 11:14:48.733 [DEBUG] MIDI received: status E0, data1 74, data2 4A, channel 1, command E0
2026-06-01 11:14:48.733 [DEBUG] MIDI fader physical ch 1, logical ch 1: 58.52% raw 9588; touched=True
2026-06-01 11:14:48.739 [DEBUG] MIDI received: status E0, data1 10, data2 4D, channel 1, command E0
2026-06-01 11:14:48.739 [DEBUG] MIDI fader physical ch 1, logical ch 1: 60.26% raw 9872; touched=True
2026-06-01 11:14:48.744 [DEBUG] MIDI received: status E0, data1 18, data2 4F, channel 1, command E0
2026-06-01 11:14:48.744 [DEBUG] MIDI fader physical ch 1, logical ch 1: 61.87% raw 10136; touched=True
2026-06-01 11:14:48.750 [DEBUG] MIDI received: status E0, data1 14, data2 51, channel 1, command E0
2026-06-01 11:14:48.750 [DEBUG] MIDI fader physical ch 1, logical ch 1: 63.41% raw 10388; touched=True
2026-06-01 11:14:48.755 [DEBUG] MIDI received: status E0, data1 10, data2 53, channel 1, command E0
2026-06-01 11:14:48.755 [DEBUG] MIDI fader physical ch 1, logical ch 1: 64.95% raw 10640; touched=True
2026-06-01 11:14:48.760 [DEBUG] MIDI received: status E0, data1 64, data2 54, channel 1, command E0
2026-06-01 11:14:48.760 [DEBUG] MIDI fader physical ch 1, logical ch 1: 66.24% raw 10852; touched=True
2026-06-01 11:14:48.765 [DEBUG] MIDI received: status E0, data1 64, data2 56, channel 1, command E0
2026-06-01 11:14:48.765 [DEBUG] MIDI fader physical ch 1, logical ch 1: 67.8% raw 11108; touched=True
2026-06-01 11:14:48.771 [DEBUG] MIDI received: status E0, data1 58, data2 58, channel 1, command E0
2026-06-01 11:14:48.771 [DEBUG] MIDI fader physical ch 1, logical ch 1: 69.29% raw 11352; touched=True
2026-06-01 11:14:48.776 [DEBUG] MIDI received: status E0, data1 1C, data2 5A, channel 1, command E0
2026-06-01 11:14:48.776 [DEBUG] MIDI fader physical ch 1, logical ch 1: 70.49% raw 11548; touched=True
2026-06-01 11:14:48.781 [DEBUG] MIDI received: status E0, data1 58, data2 5B, channel 1, command E0
2026-06-01 11:14:48.781 [DEBUG] MIDI fader physical ch 1, logical ch 1: 71.64% raw 11736; touched=True
2026-06-01 11:14:48.785 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=72
2026-06-01 11:14:48.787 [DEBUG] MIDI received: status E0, data1 20, data2 5D, channel 1, command E0
2026-06-01 11:14:48.787 [DEBUG] MIDI fader physical ch 1, logical ch 1: 72.86% raw 11936; touched=True
2026-06-01 11:14:48.792 [DEBUG] MIDI received: status E0, data1 40, data2 5E, channel 1, command E0
2026-06-01 11:14:48.792 [DEBUG] MIDI fader physical ch 1, logical ch 1: 73.83% raw 12096; touched=True
2026-06-01 11:14:48.797 [DEBUG] MIDI received: status E0, data1 00, data2 60, channel 1, command E0
2026-06-01 11:14:48.797 [DEBUG] MIDI fader physical ch 1, logical ch 1: 75% raw 12288; touched=True
2026-06-01 11:14:48.803 [DEBUG] MIDI received: status E0, data1 4C, data2 61, channel 1, command E0
2026-06-01 11:14:48.803 [DEBUG] MIDI fader physical ch 1, logical ch 1: 76.25% raw 12492; touched=True
2026-06-01 11:14:48.808 [DEBUG] MIDI received: status E0, data1 10, data2 63, channel 1, command E0
